Cien años de soledad;Gabriel García Márquez;images/cien_anos_de_soledad.jpg;3,80;3
1984;George Orwell;images/1984.jpg;3,20;2
Don Quijote de la Mancha;Miguel de Cervantes;images/don_quijote.jpg;4,70;1
El principito;Antoine de Saint-Exupéry;images/el_principito.jpg;4,80;1
Crimen y castigo;Fiódor Dostoyevski;images/crimen_y_castigo.jpg;4,90;1
Orgullo y prejuicio;Jane Austen;images/orgullo_y_prejuicio.jpg;4,60;1
La sombra del viento;Carlos Ruiz Zafón;images/la_sombra_del_viento.jpg;4,70;1
Los juegos del hambre;Suzanne Collins;images/los_juegos_del_hambre.jpg;4,50;1
El nombre del viento;Patrick Rothfuss;images/el_nombre_del_viento.jpg;4,80;1
Fahrenheit 451;Ray Bradbury;images/fahrenheit_451.jpg;4,60;1
La ladrona de libros;Markus Zusak;images/la_ladrona_de_libros.jpg;4,70;1
Matar a un ruiseñor;Harper Lee;images/matar_a_un_ruisenor.jpg;4,80;1
El señor de los anillos;J. R. R. Tolkien;images/el_senor_de_los_anillos.jpg;4,90;1
Harry Potter y la piedra filosofal;J. K. Rowling;images/harry_potter_piedra_filosofal.jpg;4,70;1
Los pilares de la Tierra;Ken Follett;images/los_pilares_de_la_tierra.jpg;4,80;1
El alquimista;Paulo Coelho;images/el_alquimista.jpg;4,50;1
It;Stephen King;images/it.jpg;4,60;1
Rebelión en la granja;George Orwell;images/rebelion_en_la_granja.jpg;4,70;1
El código Da Vinci;Dan Brown;images/el_codigo_da_vinci.jpg;4,60;1
La casa de los espíritus;Isabel Allende;images/la_casa_de_los_espiritus.jpg;4,80;1
